X,Y,OBJECTID,project,Farm,Lat,Long,Depth,Depthcode,pH,N,OC,P,Ca,Mg,K,Na,Zn,Cu,Mn,Fe
4.76323400000007,6.74562900000006,1009,Wells and Ore Farm,D2_15,6.745629,4.763234,0-15 cm,1,4.7,0.210764,1.603702,4.92504,291.5122,81.9462,47.315692,18.43082,27.309322,0.882678,5.129608,149.125692
4.76323400000007,6.74562900000006,1010,Wells and Ore Farm,D2_30,6.745629,4.763234,15-30 cm,2,4.3,0.158269,1.469619,2.67246,198.291,68.78496,21.912031,16.47766,9.596313,0.232707,14.801136,163.322443
4.76321500000006,6.74838000000005,1011,Wells and Ore Farm,D3_15,6.74838,4.763215,0-15 cm,1,5.2,0.201121,2.007517,4.92504,198.291,64.53936,36.428297,20.11304,16.842544,0.498605,11.703224,129.317845
4.76321500000006,6.74838000000005,1012,Wells and Ore Farm,D3_30,6.74838,4.763215,15-30 cm,2,4.9,0.120791,1.283594,4.10592,128.375,37.36776,25.540902,16.47766,16.037408,0.46906,6.615598,130.399502
4.76317200000005,6.75095300000004,1013,Wells and Ore Farm,D4_15,6.750953,4.763172,0-15 cm,1,4.3,0.25288,2.450299,6.97284,58.459,112.0896,40.057559,17.10878,23.283638,0.734958,8.957921,190.29627
4.76317200000005,6.75095300000004,1014,Wells and Ore Farm,D4_30,6.750953,4.763172,15-30 cm,2,3.9,0.168448,1.738754,4.10592,81.7642,44.58528,29.170164,14.6441,16.842544,0.498605,3.517686,167.108244
4.76314900000006,6.75386300000002,1015,Wells and Ore Farm,D5_15,6.753863,4.763149,0-15 cm,1,5.6,0.254093,2.204489,19.6692,291.5122,158.79084,50.944954,19.88971,78.838076,2.773503,27.646134,123.571541
4.76314900000006,6.75386300000002,1016,Wells and Ore Farm,D5_30,6.753863,4.763149,15-30 cm,2,5.6,0.140315,1.144314,11.27322,58.459,95.95656,25.540902,16.80058,13.621997,0.380428,30.139575,126.884116
4.76314900000006,6.75639500000005,1017,Wells and Ore Farm,D6_15,6.756395,4.763149,0-15 cm,1,7.2,0.200928,1.61645,6.3585,920.7562,93.83376,32.799426,18.19553,24.088775,0.764502,53.81467,94.028778
4.76314900000006,6.75639500000005,1018,Wells and Ore Farm,D6_30,6.756395,4.763149,15-30 cm,2,4.3,0.08069,0.684033,3.2868,105.0696,24.63108,18.282769,11.46343,13.621997,0.380428,2.963588,82.53617
4.76305100000008,6.75909900000005,1019,Wells and Ore Farm,D7_15,6.759099,4.763051,0-15 cm,1,6.7,0.229424,1.921886,10.86366,361.4282,88.31448,25.540902,16.14025,11.206587,0.291796,33.2123,88.21487
4.76305100000008,6.75909900000005,1020,Wells and Ore Farm,D7_30,6.759099,4.763051,15-30 cm,2,6.4,0.134299,1.01866,3.2868,221.5962,55.62372,18.282769,10.42314,24.893912,0.794046,12.055832,80.440459
4.76303600000006,6.76183500000008,1021,Wells and Ore Farm,D8_15,6.761835,4.763036,0-15 cm,1,5.9,0.259056,2.02229,9.63498,128.375,75.5778,32.799426,18.43082,25.699049,0.82359,59.481581,157.643743
4.76303600000006,6.76183500000008,1022,Wells and Ore Farm,D8_30,6.761835,4.763036,15-30 cm,2,5.7,0.140587,1.119725,4.10592,81.7642,69.63408,21.912031,20.19262,8.791177,0.203163,39.332564,141.013263
4.76301200000006,6.76452700000004,1023,Wells and Ore Farm,D9_15,6.764527,4.763012,0-15 cm,1,6.1,0.346324,2.596515,7.58718,221.5962,115.48608,40.057559,19.53482,53.878836,1.857635,46.107671,105.183368
4.76301200000006,6.76452700000004,1024,Wells and Ore Farm,D9_30,6.764527,4.763012,15-30 cm,2,6.1,0.176312,1.329518,4.3107,198.291,79.8234,21.912031,18.65139,16.037408,0.46906,23.263723,100.518721
4.76305200000007,6.76726900000006,1025,Wells and Ore Farm,D10_15,6.767269,4.763052,0-15 cm,1,4.6,0.082865,0.798053,2.05812,35.1536,36.51864,29.170164,10.42314,69.981571,2.448518,6.968205,123.503937
4.76305200000007,6.76726900000006,1026,Wells and Ore Farm,D10_30,6.767269,4.763052,15-30 cm,2,4.3,0.085934,0.836339,2.46768,128.375,28.45212,21.912031,17.94575,46.632605,1.591738,4.021412,98.287803
4.76308800000004,6.76999900000004,1027,Wells and Ore Farm,D11_15,6.769999,4.763088,0-15 cm,1,5.6,0.320712,2.559648,7.17762,314.8176,104.02308,65.461611,15.04016,64.345614,2.241709,47.644033,147.57081
4.76308800000004,6.76999900000004,1028,Wells and Ore Farm,D11_30,6.769999,4.763088,15-30 cm,2,5,0.105555,0.864612,1.85334,128.375,53.50092,32.799426,8.16707,53.073699,1.828091,12.307695,90.445788
4.76296700000006,6.77261700000003,1029,Wells and Ore Farm,D12_15,6.772617,4.762967,0-15 cm,1,5.8,0.368603,2.696323,6.3585,501.2602,180.0186,43.686821,10.95053,65.955887,2.300797,76.960853,109.37479
4.76296700000006,6.77261700000003,1030,Wells and Ore Farm,D12_30,6.772617,4.762967,15-30 cm,2,5.3,0.216344,1.692182,1.85334,268.207,110.81604,32.799426,11.46343,78.838076,2.773503,31.449261,93.420346
4.76341000000002,6.77830000000006,1031,Wells and Ore Farm,D14_15,6.7783,4.76341,0-15 cm,1,4.6,0.173512,1.641975,4.92504,151.6802,62.84112,29.170164,11.96161,24.893912,0.794046,14.322597,136.41622
4.76341000000002,6.77830000000006,1032,Wells and Ore Farm,D14_30,6.7783,4.76341,15-30 cm,2,4.5,0.143992,1.394777,2.87724,128.375,55.19916,25.540902,12.91427,40.996647,1.384929,7.018578,111.064879
4.76289800000006,6.78089000000006,1033,Wells and Ore Farm,D15_15,6.78089,4.762898,0-15 cm,1,5.4,0.247735,1.445573,3.08202,291.5122,109.96692,50.944954,20.20458,44.217194,1.503105,18.478331,160.753507
4.76289800000006,6.78089000000006,1034,Wells and Ore Farm,D15_30,6.78089,4.762898,15-30 cm,2,4.7,0.142599,2.257914,3.49158,221.5962,59.0202,21.912031,16.14025,73.202118,2.566694,5.507402,109.645204
4.76288400000004,6.78351600000002,1035,Wells and Ore Farm,D16_15,6.783516,4.762884,0-15 cm,1,5.8,0.257732,2.011989,4.3107,408.039,108.26868,29.170164,16.47766,63.540477,2.212165,91.140723,137.633084
4.76288400000004,6.78351600000002,1036,Wells and Ore Farm,D16_30,6.783516,4.762884,15-30 cm,2,4.9,0.131582,1.383082,3.69636,198.291,60.71832,18.282769,14.23355,78.032939,2.743959,9.814254,185.56402
4.76281000000006,6.78630000000004,1037,Wells and Ore Farm,D17_15,6.7863,4.76281,0-15 cm,1,5.4,0.321759,2.603069,5.94894,501.2602,237.75828,98.123796,16.47766,57.90452,2.005356,39.584427,114.580265
4.76281000000006,6.78630000000004,1038,Wells and Ore Farm,D17_30,6.7863,4.76281,15-30 cm,2,5.1,0.243371,1.913593,2.87724,431.3442,159.2154,196.110742,17.68148,36.165827,1.207664,17.521253,98.558218
4.76281700000004,6.78888300000006,1039,Wells and Ore Farm,D18_15,6.788883,4.762817,0-15 cm,1,6.1,0.234909,2.141478,6.76806,431.3442,152.42244,94.494534,19.78598,32.140143,1.059943,44.445377,86.051556
